#time,accel_x,accel_y,accel_z
206.911653,1332.370696,6513.812290,-81512.560987
206.914226,16136.489536,-2072.576638,-73391.948708
206.916799,-12879.583391,-3552.988522,-84117.285680
206.919372,22206.178260,9326.594869,-74004.825107
206.921945,-33901.432144,10214.842000,-76609.549800
206.924518,35825.967593,11399.171507,-68182.499322
206.927091,-41007.409187,21614.013506,-78754.617194
206.929665,37454.420665,-19393.395680,-86109.133975
206.932238,-26203.290347,26055.249158,-70634.004916
206.934811,27239.578666,12879.583391,-73698.386908
206.937384,-20133.601622,18653.189738,-88254.201370
206.939957,17320.819043,14804.118840,-77222.426198
206.942530,-1924.535449,-7105.977043,-71859.757712
206.945103,-5181.441594,1332.370696,-72166.195912
206.947675,8882.471304,35974.008781,-66343.870127
206.950248,-8882.471304,0.000000,-80286.808190
206.952820,10807.006753,3701.029710,-77069.207099
206.955393,-15396.283594,7846.182985,-81206.122788
206.957965,3552.988522,26203.290347,-69714.690318
206.960538,-5921.647536,1184.329507,-83810.847481
206.963110,9622.677246,2072.576638,-80133.589091
206.965683,-10510.924376,8142.265362,-79673.931792
206.968256,148.041188,16284.530724,-73851.606007
206.970828,1776.494261,-148.041188,-83964.066581
206.973401,-2960.823768,9918.759623,-79367.493593
206.975973,1776.494261,3997.112087,-76762.768900
206.978546,-6365.771101,8438.347739,-77988.521696
206.981118,-2516.700203,8586.388927,-80746.465489
206.983691,-4441.235652,16580.613101,-77069.207099
206.986263,1628.453072,5477.523971,-79980.369991
206.988836,-4293.194464,8586.388927,-80440.027290
206.991408,-5477.523971,14656.077652,-75230.577904
206.993981,-3849.070898,8882.471304,-76149.892501
206.996553,2220.617826,1480.411884,-81665.780087
206.999126,-16432.571912,14211.954086,-79673.931792
207.001698,5181.441594,5181.441594,-76915.987999
207.004271,-6365.771101,-1036.288319,-85649.476676
207.006844,-14211.954086,31532.773129,-80440.027290
207.009416,22206.178260,-3108.864956,-77988.521696
207.011989,-34049.473332,11547.212695,-82431.875585
207.014561,38786.791361,-7846.182985,-81052.903688
207.017134,-23686.590144,18505.148550,-73851.606007
207.019706,-1628.453072,-1184.329507,-82891.532884
207.022279,-1776.494261,14211.954086,-76915.987999
207.024851,-9918.759623,-21910.095883,-89633.173266
207.027424,-12583.501014,14952.160028,-73238.729609
207.029996,40711.326810,-28423.908173,-91625.021561
207.032569,-25018.960840,13471.748144,-84270.504780
207.035141,18949.272115,19837.519246,-74004.825107
207.037714,-6513.812290,-9326.594869,-81359.341888
207.040286,32569.061448,-3256.906145,-79827.150892
207.042859,-19393.395680,7698.141797,-78448.178995
207.045432,18653.189738,2664.741391,-73545.167808
207.048004,592.164754,-2664.741391,-83964.066581
207.050576,17024.736666,-5625.565159,-78907.836294
207.053148,3256.906145,5773.606348,-73698.386908
207.055720,-6365.771101,4737.318029,-79367.493593
207.058292,13619.789333,-148.041188,-79827.150892
207.060864,5033.400406,296.082377,-77375.645298
207.063436,2072.576638,7402.059420,-77069.207099
207.066008,1480.411884,740.205942,-80899.684589
207.068580,12879.583391,148.041188,-77069.207099
207.071152,3108.864956,-1036.288319,-80286.808190
207.073724,9030.512492,-2220.617826,-79367.493593
207.076296,2220.617826,-2812.782580,-79061.055394
207.078868,3404.947333,5329.482782,-78141.740796
207.081440,7994.224174,1036.288319,-77222.426198
207.084012,4885.359217,-5921.647536,-76303.111601
207.086584,-888.247130,14359.995275,-71400.100414
207.089156,8586.388927,-6217.729913,-79367.493593
207.091728,17616.901420,-6513.812290,-81359.341888
207.094300,-9474.636058,11843.295072,-81818.999186
207.096872,21910.095883,1480.411884,-70787.224015
207.099444,-8438.347739,-12287.418637,-85649.476676
207.102016,27091.537477,11103.089130,-70940.443115
207.104589,-38786.791361,3849.070898,-76149.892501
207.107161,50778.127621,740.205942,-68948.594820
207.109733,-41895.656317,22946.384202,-82278.656485
207.112305,55367.404462,-15544.324782,-73085.510509
207.114877,-21021.848753,-9474.636058,-91318.583362
207.117449,6957.935855,27831.743419,-79827.150892
207.120021,-18357.107362,16432.571912,-84423.723880
207.122593,22206.178260,14359.995275,-66343.870127
207.125165,-16580.613101,-16580.613101,-83351.190182
207.127737,9918.759623,21762.054695,-77375.645298
207.130309,-27831.743419,23834.631332,-79520.712692
207.132881,12287.418637,2664.741391,-76762.768900
207.135453,-2664.741391,-5921.647536,-85955.914876
207.138025,-13175.665768,18209.066173,-78141.740796
207.140597,-9918.759623,22058.137072,-77069.207099
207.143169,4145.153275,7698.141797,-82585.094684
207.145741,10066.800811,4737.318029,-74004.825107
207.148313,-6365.771101,8586.388927,-77528.864398
207.150886,-1628.453072,13175.665768,-82278.656485
207.153457,-3997.112087,3997.112087,-80286.808190
207.156028,6069.688724,1924.535449,-73238.729609
207.158599,-7402.059420,11695.253884,-74617.701505
207.161170,6513.812290,14211.954086,-73851.606007
207.163741,-3997.112087,11547.212695,-72166.195912
207.166312,888.247130,5033.400406,-76303.111601
207.168883,-7105.977043,13619.789333,-80133.589091
207.171454,-296.082377,2664.741391,-75843.454302
207.174025,4293.194464,4293.194464,-78754.617194
207.176596,1628.453072,14952.160028,-81206.122788
207.179167,-10510.924376,11843.295072,-77988.521696
207.181738,9178.553681,-3256.906145,-78448.178995
207.184309,7402.059420,12583.501014,-81818.999186
207.186880,22354.219448,15840.407159,-72472.634111
207.189451,-55071.322085,6217.729913,-87028.448573
207.192022,51518.333563,4145.153275,-73391.948708
207.194593,-35381.844028,-11843.295072,-96987.690047
207.197164,62029.257940,13027.624579,-65118.117330
207.199735,-60400.804867,9918.759623,-93310.431656
207.202306,78017.706287,10066.800811,-64045.583633
207.204877,-38490.708984,-15544.324782,-91012.145162
207.207448,65138.122896,3997.112087,-65730.993728
207.210019,-7550.100608,-5625.565159,-85343.038477
207.212590,25167.002028,26351.331535,-65118.117330
207.215161,-1480.411884,-2516.700203,-74924.139704
207.217732,11251.130318,-11991.336260,-79980.369991
207.220303,19541.436869,444.123565,-80593.246390
207.222875,-17764.942608,10658.965565,-77528.864398
207.225446,25463.084405,4737.318029,-69867.909418
207.228017,-3849.070898,-11991.336260,-85343.038477
207.230588,26795.455100,888.247130,-73391.948708
207.233159,-8438.347739,2368.659014,-78754.617194
207.235730,12139.377449,3108.864956,-80286.808190
207.238301,1480.411884,-5033.400406,-81818.999186
207.240872,7402.059420,7402.059420,-73085.510509
207.243443,6957.935855,-888.247130,-78754.617194
207.246014,3404.947333,-592.164754,-79980.369991
207.248585,13027.624579,-2960.823768,-80440.027290
207.251156,2072.576638,-2664.741391,-81206.122788
207.253726,5625.565159,1036.288319,-79214.274493
207.256297,7105.977043,-2072.576638,-78294.959896
207.258867,7846.182985,888.247130,-79980.369991
207.261438,-4145.153275,10807.006753,-79061.055394
207.264008,3997.112087,-888.247130,-76456.330700
207.266579,15248.242405,-5477.523971,-76609.549800
207.269149,3997.112087,1628.453072,-85496.257577
207.271720,11103.089130,14359.995275,-74617.701505
207.274290,-1924.535449,-16432.571912,-83964.066581
207.276861,16284.530724,4293.194464,-81972.218286
207.279431,-4589.276840,8586.388927,-78448.178995
207.282002,-16284.530724,15840.407159,-80440.027290
207.284572,-3404.947333,14952.160028,-87794.544071
207.287143,9474.636058,-13619.789333,-93157.212557
207.289713,-18209.066173,27387.619854,-71553.319513
207.292284,3108.864956,-3404.947333,-85189.819378
207.294854,-14804.118840,19541.436869,-76609.549800
207.297425,-14063.912898,4441.235652,-81972.218286
207.299995,21910.095883,5329.482782,-72625.853210
207.302566,-24130.713709,-10510.924376,-93923.308055
207.305136,12879.583391,29016.072926,-71246.881314
207.307707,-24870.919651,16284.530724,-76456.330700
207.310277,20577.725188,2664.741391,-73851.606007
207.312848,-10362.883188,-6661.853478,-87641.324971
207.315418,-2664.741391,24574.837274,-69408.252119
207.317989,-11695.253884,9770.718434,-79980.369991
207.320559,7105.977043,3849.070898,-81665.780087
207.323130,-3849.070898,1480.411884,-78754.617194
207.325700,4589.276840,11251.130318,-68488.937521
207.328271,296.082377,444.123565,-79827.150892
207.330841,-740.205942,10362.883188,-78448.178995
207.333412,-1184.329507,5921.647536,-77988.521696
207.335982,-2220.617826,13915.871710,-80286.808190
207.338553,-7994.224174,11695.253884,-80286.808190
207.341123,-8586.388927,11103.089130,-79980.369991
207.343694,4293.194464,7402.059420,-79827.150892
207.346264,-6661.853478,4145.153275,-83657.628382
207.348835,7105.977043,7550.100608,-77069.207099
207.351405,-25611.125593,14063.912898,-81818.999186
207.353976,2812.782580,15692.365970,-77988.521696
207.356545,740.205942,-10362.883188,-79061.055394
207.359115,-11843.295072,28571.949361,-74770.920605
207.361684,20577.725188,0.000000,-80593.246390
207.364254,-30644.525999,12287.418637,-82891.532884
207.366823,45004.521274,-3108.864956,-74770.920605
207.369393,-27831.743419,12879.583391,-74464.482406
207.371962,65878.328838,1628.453072,-62819.830836
207.374532,-53886.992578,5773.606348,-79367.493593
207.377101,-444.123565,-16284.530724,-90705.706963
207.379671,-30200.402434,20873.807564,-76456.330700
207.382240,56847.816346,-26055.249158,-81818.999186
207.384810,-45596.686027,7698.141797,-89173.515967
207.387380,28571.949361,23982.672521,-74004.825107
207.389949,-12435.459826,-15248.242405,-84730.162079
207.392519,20725.766376,-8290.306550,-82738.313784
207.395088,2516.700203,6513.812290,-86262.353075
207.397658,11399.171507,9030.512492,-70174.347617
207.400227,5477.523971,-2516.700203,-78754.617194
207.402797,13027.624579,-9030.512492,-85189.819378
207.405366,5033.400406,8882.471304,-77222.426198
207.407936,-7550.100608,4293.194464,-76762.768900
207.410505,9918.759623,888.247130,-75843.454302
207.413075,-12139.377449,-592.164754,-83657.628382
207.415644,14508.036463,8586.388927,-76915.987999
207.418214,-11251.130318,-2516.700203,-79520.712692
207.420783,19393.395680,-1776.494261,-79520.712692
207.423353,-444.123565,-5033.400406,-82738.313784
207.425922,5773.606348,1924.535449,-77682.083497
207.428492,4145.153275,-5181.441594,-81512.560987
207.431061,-2368.659014,3997.112087,-81512.560987
207.433631,7698.141797,6661.853478,-79520.712692
207.436200,5033.400406,-8290.306550,-81359.341888
207.438770,16728.654289,-3849.070898,-80133.589091
207.441339,-9474.636058,13767.830521,-78754.617194
207.443909,22798.343014,-2812.782580,-71553.319513
207.446478,-5181.441594,-7254.018232,-83504.409282
207.449048,19837.519246,10066.800811,-71093.662214
207.451617,-34197.514520,10807.006753,-72625.853210
207.454187,32272.979071,8882.471304,-65118.117330
207.456756,-45448.644839,27091.537477,-73851.606007
207.459326,53146.786636,-26203.290347,-77528.864398
207.461895,-38638.750172,-296.082377,-89173.515967
207.464464,18061.024985,25463.084405,-72472.634111
207.467033,-12435.459826,12435.459826,-80286.808190
207.469602,7994.224174,13915.871710,-73238.729609
207.472171,-888.247130,-2516.700203,-78141.740796
207.474740,-1776.494261,2368.659014,-75230.577904
207.477309,-7698.141797,24722.878463,-74158.044206
207.479878,-8734.430116,11843.295072,-80746.465489
207.482447,888.247130,-6809.894666,-82585.094684
207.485016,-4589.276840,5329.482782,-77222.426198
207.487585,-13027.624579,26943.496289,-74158.044206
207.490154,-8290.306550,8586.388927,-83044.751983
207.492723,12731.542202,3404.947333,-79520.712692
207.495292,-2812.782580,-1776.494261,-80899.684589
207.497861,10658.965565,13471.748144,-68029.280222
207.500431,-6513.812290,2960.823768,-80746.465489
207.503000,888.247130,12731.542202,-74311.263306
207.505569,-6365.771101,9622.677246,-76303.111601
207.508138,-6365.771101,21317.931130,-75843.454302
207.510707,-4885.359217,9474.636058,-80746.465489
207.513276,1332.370696,4737.318029,-77069.207099
207.515845,1036.288319,2960.823768,-81206.122788
207.518414,-2368.659014,17172.777854,-79214.274493
207.520983,-17616.901420,18061.024985,-76915.987999
207.523552,2960.823768,-3997.112087,-79827.150892
207.526121,4293.194464,7698.141797,-85955.914876
207.528690,-5625.565159,21910.095883,-76149.892501
207.531259,-26795.455100,5773.606348,-79061.055394
207.533828,33457.308578,2812.782580,-75996.673402
207.536397,-29608.237680,-15544.324782,-96374.813648
207.538966,38786.791361,20725.766376,-67263.184724
207.541536,-49741.839302,5033.400406,-95149.060852
207.544105,53294.827824,6069.688724,-68948.594820
207.546674,-33753.390955,-4441.235652,-86568.791274
207.549243,65730.287650,6661.853478,-68029.280222
207.551812,-13915.871710,-5329.482782,-83044.751983
207.554381,22354.219448,11843.295072,-63126.269035
207.556950,-1628.453072,-888.247130,-75996.673402
207.559519,7698.141797,-8438.347739,-77835.302597
207.562087,27239.578666,-5181.441594,-75077.358804
207.564655,-16432.571912,9622.677246,-75383.797003
207.567223,10362.883188,8734.430116,-78601.398095
207.569791,7698.141797,-14359.995275,-87181.667672
207.572359,14804.118840,296.082377,-77682.083497
207.574927,-9474.636058,7698.141797,-79061.055394
207.577495,8586.388927,7105.977043,-76456.330700
207.580063,-444.123565,148.041188,-80593.246390
207.582630,13471.748144,2072.576638,-73698.386908
207.585198,1480.411884,2960.823768,-78448.178995
207.587766,17616.901420,-3404.947333,-78601.398095
207.590334,14952.160028,-6069.688724,-77222.426198
207.592902,5477.523971,296.082377,-77222.426198
207.595470,5773.606348,3108.864956,-78294.959896
207.598038,3108.864956,11695.253884,-76762.768900
207.600606,10658.965565,-3404.947333,-78141.740796
207.603174,20133.601622,-10510.924376,-77375.645298
207.605742,-296.082377,9474.636058,-78294.959896
207.608310,-3256.906145,19689.478057,-71553.319513
207.610878,3997.112087,-28868.031738,-87794.544071
207.613446,12435.459826,-444.123565,-86568.791274
207.616014,17024.736666,10066.800811,-77375.645298
207.618582,-35677.926404,15100.201217,-82891.532884
207.621150,30644.525999,-5329.482782,-88254.201370
207.623718,-8882.471304,-6809.894666,-91625.021561
207.626286,6069.688724,17912.983796,-77835.302597
207.628854,-17912.983796,-2368.659014,-95915.156350
207.631421,-16876.695478,25315.043216,-72625.853210
207.633989,-14804.118840,5477.523971,-83197.971083
207.636557,26499.372724,12583.501014,-68182.499322
207.639125,-26499.372724,-16876.695478,-92697.555258
207.641693,14952.160028,23538.548956,-71246.881314
207.644261,-27239.578666,21169.889941,-81512.560987
207.646829,17024.736666,9918.759623,-73391.948708
207.649397,-5181.441594,-12435.459826,-85496.257577
207.651965,-4589.276840,22502.260637,-72932.291410
207.654533,-15692.365970,18801.230927,-77222.426198
207.657101,9918.759623,-1184.329507,-81972.218286
207.659669,-1036.288319,6661.853478,-80899.684589
207.662237,4737.318029,5921.647536,-78601.398095
207.664804,-2960.823768,6809.894666,-77069.207099
207.667371,-3256.906145,8290.306550,-80286.808190
207.669939,-4589.276840,13471.748144,-77222.426198
207.672506,-17172.777854,17912.983796,-76456.330700
207.675073,-2368.659014,3404.947333,-80899.684589
207.677640,-148.041188,1184.329507,-82125.437386
207.680208,-2516.700203,9622.677246,-81359.341888
207.682775,-17912.983796,20577.725188,-78141.740796
207.685342,-12139.377449,11547.212695,-75996.673402
207.687909,3404.947333,-7254.018232,-83197.971083
207.690477,2960.823768,21614.013506,-81052.903688
207.693044,21910.095883,5033.400406,-73238.729609
207.695611,-50037.921679,3552.988522,-89173.515967
207.698178,51962.457128,1332.370696,-75996.673402
207.700745,-36122.049970,-4589.276840,-92697.555258
207.703313,71207.811620,14359.995275,-61287.639840
207.705880,-69579.358548,5181.441594,-92850.774358
207.708447,79202.035794,5181.441594,-63432.707234
207.711014,-30348.443622,-15544.324782,-89633.173266
207.713582,71059.770432,-3997.112087,-68335.718422
207.716149,-15988.448347,-2368.659014,-79827.150892
207.718716,30792.567187,12731.542202,-67109.965625
207.721283,-6809.894666,3404.947333,-78601.398095
207.723851,18653.189738,-11843.295072,-79673.931792
207.726418,15692.365970,-2072.576638,-78601.398095
207.728985,-12435.459826,6513.812290,-78448.178995
207.731552,10066.800811,13027.624579,-72472.634111
207.734120,11843.295072,-15396.283594,-86722.010374
207.736687,23242.466579,-1924.535449,-78141.740796
207.739254,-9770.718434,5773.606348,-79980.369991
207.741821,11547.212695,8882.471304,-76609.549800
207.744389,-1924.535449,-296.082377,-79520.712692
207.746955,13471.748144,3701.029710,-73851.606007
207.749522,7402.059420,-2960.823768,-78907.836294
207.752089,6809.894666,-7402.059420,-82431.875585
207.754656,10807.006753,-4145.153275,-79520.712692
207.757223,888.247130,7402.059420,-77835.302597
207.759790,-3404.947333,16728.654289,-76609.549800
207.762357,9474.636058,-10066.800811,-78141.740796
207.764923,20133.601622,-11399.171507,-75537.016103
207.767490,-5773.606348,8586.388927,-82431.875585
207.770057,740.205942,20429.683999,-73545.167808
207.772624,4737.318029,-21465.972318,-82585.094684
207.775191,9622.677246,-6957.935855,-80746.465489
207.777758,13619.789333,5181.441594,-80440.027290
207.780325,-30644.525999,14656.077652,-85955.914876
207.782891,26499.372724,3404.947333,-86109.133975
207.785458,-5773.606348,-2960.823768,-87334.886772
207.788025,5181.441594,16580.613101,-70940.443115
207.790592,-19245.354492,-4737.318029,-93310.431656
207.793159,-10214.842000,30644.525999,-79520.712692
207.795726,-13915.871710,5773.606348,-84117.285680
207.798292,25463.084405,18505.148550,-67876.061123
207.800859,-28423.908173,-13915.871710,-94842.622652
207.803426,9918.759623,22058.137072,-72319.415011
207.805993,-23242.466579,17468.860231,-77682.083497
207.808560,13027.624579,9622.677246,-75690.235202
207.811127,0.000000,-11251.130318,-89479.954166
207.813694,-2812.782580,11991.336260,-79980.369991
207.816260,-6069.688724,25018.960840,-73851.606007
207.818827,5773.606348,1480.411884,-82738.313784
207.821394,-4589.276840,5625.565159,-81512.560987
207.823961,-1480.411884,7846.182985,-78907.836294
207.826528,1332.370696,5181.441594,-75230.577904
207.829095,-5773.606348,7550.100608,-80440.027290
207.831661,-4589.276840,17616.901420,-79367.493593
207.834228,-12287.418637,16728.654289,-79214.274493
207.836795,4293.194464,6069.688724,-78141.740796
207.839362,3701.029710,1480.411884,-80286.808190
207.841929,-14508.036463,20577.725188,-78141.740796
